electrical_row,electrical_column,switch,visual_row,visual_column,pcb_x_mm,pcb_y_mm,rotation_degrees,keycode,primary_semantic,primary_label
0,0,SW2,0,4,174.901,89.004,0,BACK,go_back,BACK
0,1,SW3,1,4,174.901,98.804,0,TOOLBOX,open_toolbox,TOOLS
0,2,SW4,2,4,174.901,108.604,0,SQUARE,square,x^2
0,3,SW5,3,4,174.901,118.404,0,TAN,tan,tan
0,4,SW6,4,4,174.901,128.204,0,RPAREN,right_parenthesis,)
0,5,SW7,5,4,174.901,138.004,0,GREATER,greater_than,>
0,6,SW8,6,4,174.901,147.804,0,AC,clear,AC
0,7,SW9,7,4,174.901,157.604,0,DIVIDE,divide,÷
0,8,SW10,8,4,174.901,167.404,0,SUB,subtract,−
0,9,SW11,9,4,174.901,177.204,0,EXE,execute,EXE
1,0,SW12,0,3,161.701,89.004,0,HOME,go_home,HOME
1,1,SW13,1,3,161.701,98.804,0,RIGHT,cursor_right,→
1,2,SW14,2,3,161.701,108.604,0,POW,power_template,x^{\square}
1,3,SW15,3,3,161.701,118.404,0,COS,cos,cos
1,4,SW16,4,3,161.701,128.204,0,LPAREN,left_parenthesis,(
1,5,SW17,5,3,161.701,138.004,0,LESS,less_than,<
1,6,SW18,6,3,161.701,147.804,0,DEL,delete,DEL
1,7,SW19,7,3,161.701,157.604,0,MUL,multiply,×
1,8,SW20,8,3,161.701,167.404,0,ADD,add,+
1,9,SW21,9,3,161.701,177.204,0,NEGATE,unary_negative,(-)
2,0,SW22,0,2,148.501,89.004,0,UP,cursor_up,↑
2,1,SW23,1,2,148.501,98.804,0,DOWN,cursor_down,↓
2,2,SW24,2,2,148.501,108.604,0,SQRT,square_root,\sqrt{\square}
2,3,SW25,3,2,148.501,118.404,0,SIN,sin,sin
2,4,SW26,4,2,148.501,128.204,0,CONST_E,constant_e,e
2,5,SW27,5,2,148.501,138.004,0,EQUAL,equal,=
2,6,SW28,6,2,148.501,147.804,0,NUM_9,digit_9,9
2,7,SW29,7,2,148.501,157.604,0,NUM_6,digit_6,6
2,8,SW30,8,2,148.501,167.404,0,NUM_3,digit_3,3
2,9,SW31,9,2,148.501,177.133,0,EXP,scientific_exponent,×10ˣ
3,0,SW32,0,1,135.301,89.004,0,ALPHA,alpha_once,ALPHA
3,1,SW33,1,1,135.301,98.804,0,LEFT,cursor_left,←
3,2,SW34,2,1,135.301,108.604,0,FRAC,fraction_template,\frac{\square}{\square}
3,3,SW35,3,1,135.301,118.404,0,LN,ln,ln
3,4,SW36,4,1,135.301,128.204,0,CONST_PI,constant_pi,π
3,5,SW37,5,1,135.301,138.004,0,COMMA,comma,","
3,6,SW38,6,1,135.301,147.804,0,NUM_8,digit_8,8
3,7,SW39,7,1,135.301,157.604,0,NUM_5,digit_5,5
3,8,SW40,8,1,135.301,167.404,0,NUM_2,digit_2,2
3,9,SW41,9,1,135.301,177.204,0,DOT,decimal_point,.
4,0,SW42,0,0,122.101,89.004,0,SHIFT,shift_once,SHIFT
4,1,SW43,1,0,122.101,98.804,0,VAR,open_variable_picker,VAR
4,2,SW44,2,0,122.101,108.604,0,VAR_X,context_independent_variable,"x,t,θ,n"
4,3,SW45,3,0,122.101,118.404,0,LOG,log10,log
4,4,SW46,4,0,122.101,128.204,0,STO,store,STO→
4,5,SW47,5,0,122.101,138.004,0,FORMAT,format_result,FORMAT
4,6,SW48,6,0,122.101,147.804,0,NUM_7,digit_7,7
4,7,SW49,7,0,122.101,157.604,0,NUM_4,digit_4,4
4,8,SW50,8,0,122.101,167.404,0,NUM_1,digit_1,1
4,9,SW51,9,0,122.101,177.204,0,NUM_0,digit_0,0
